,building characteristics factors,,,,,,,,,Structural and architectural factors,,,,,Financial properties factors,,,Social Factors,,Governmental Factors,,Physical/Environmental Factors,Economic factors,,,,,Output
Project 729,150,70,6,3000000,2,1,2,1,2,2,1,1,1,2,2450,8,3800,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,4,772000
Project 730,180,75,6,3000000,2,1,2,1,2,2,1,1,1,2,2450,9,3800,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,4,815000
Project 731,180,75,6,2000000,2,1,2,1,2,2,1,1,1,1,1350,9,2450,3,1,2,1,2,11.86666667,11.2,1,11.21833333,6,620000
Project 732,180,75,6,2000000,2,1,2,1,2,2,2,1,1,1,1350,8,2450,3,1,2,1,2,11.86666667,11.2,3,11.21833333,5,620000
Project 733,200,90,8,3090000,2,1,2,1,2,2,2,1,1,2,1300,9,2400,3,1,2,1,2,11.43333333,8.433333333,3,8.437666667,4,649500
Project 734,210,95,10,3300000,2,1,2,1,2,3,2,1,1,2,1450,9,2550,3,1,1,1,2,11.63333333,10.6,3,10.575,4,697000
Project 735,210,95,13,3500000,2,2,2,2,2,3,2,2,2,2,1500,8,2650,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,5,709000
Project 736,230,120,32,1010000,2,1,2,1,2,3,2,1,1,2,1950,16,2850,3,2,1,1,2,11.43333333,8.433333333,2,8.437666667,18,712000
Project 737,240,120,29,1030000,2,2,2,2,2,3,2,2,1,2,2000,14,2900,3,2,1,1,2,11.86666667,11.2,2,11.21833333,16,734500
Project 738,195,90,20,1110000,2,1,2,2,2,2,1,2,1,2,2050,15,2850,3,1,1,1,2,11.76666667,10.33333333,2,10.35033333,14,693250
Project 739,195,100,20,910000,1,1,1,1,1,3,2,1,1,2,2100,14,3000,3,2,1,1,2,11.63333333,10.6,3,10.575,13,679000
Project 740,180,100,22,1060000,2,1,1,1,1,2,2,1,1,2,3850,15,5200,3,2,1,1,2,11.56666667,11.83333333,3,11.82166667,14,702750
Project 741,175,100,20,2960000,2,1,2,2,2,3,2,2,2,3,4050,15,5450,3,3,2,2,2,17.5,14.56666667,3,14.573,15,978250
Project 742,135,90,23,2060000,2,1,2,2,2,2,1,1,2,3,3850,14,5400,1,2,1,1,2,17.53333333,13.76666667,3,13.742,16,890000
Project 743,165,90,25,4060000,2,1,2,1,2,2,1,2,2,3,4050,15,5450,1,2,1,1,2,17.5,14.56666667,2,14.573,14,937500
Project 744,185,110,23,3160000,2,2,2,1,2,3,2,1,1,3,4150,16,5600,3,2,1,1,2,17.53333333,13.76666667,3,13.742,17,1030000
Project 745,195,120,25,2210000,2,2,2,1,2,3,2,1,1,3,3850,15,5400,3,1,1,1,2,16.66666667,12.16666667,2,12.16,14,1108000
Project 746,225,130,20,5210000,2,2,2,2,2,3,3,2,2,3,3950,18,5750,3,3,2,2,2,17.5,14.56666667,2,14.573,17,1124000
Project 747,215,130,20,6210000,2,1,2,1,2,3,3,1,1,3,3200,17,4600,3,3,2,2,2,17.9,15.13333333,2,15.10033333,19,1178000
Project 748,175,110,17,4210000,2,1,2,2,2,3,2,2,1,3,3500,17,5000,3,3,2,2,2,17.23333333,30.33333333,2,30.31233333,17,935000
Project 749,205,100,17,4260000,2,1,2,2,2,3,1,2,2,3,3650,16,5100,3,2,1,1,2,19.7,26.23333333,1,26.23333333,12,1005500
Project 750,185,100,17,3060000,2,1,2,2,2,3,2,1,2,3,3500,14,4900,3,3,2,2,2,19.63333333,14.93333333,2,14.928,14,920000
Project 751,215,95,31,3290000,2,2,2,1,2,2,2,1,1,3,3050,16,4500,3,3,2,2,2,17.23333333,30.33333333,3,30.31233333,15,1343750
Project 752,225,100,27,3490000,2,1,2,2,2,3,2,2,1,3,3700,15,5300,3,3,2,2,2,17.5,14.56666667,2,14.573,17,1895000
Project 753,245,110,25,4490000,2,1,2,2,2,3,2,1,1,3,3900,17,5800,3,3,2,2,2,17.53333333,13.76666667,3,13.742,20,2127500
Project 754,245,110,27,3480000,2,2,2,2,2,3,2,1,1,3,3800,16,5450,3,3,2,2,2,17.9,15.13333333,3,15.10033333,19,2078000
Project 755,265,100,46,3610000,2,2,1,2,1,3,2,2,2,3,4000,19,5500,3,2,1,1,2,17.53333333,13.76666667,2,13.742,16,1036500
Project 756,205,100,31,2610000,2,1,2,2,2,2,1,1,1,3,3800,19,5250,3,2,2,2,2,17.5,14.56666667,2,14.573,14,991500
Project 757,255,120,29,4600000,2,2,2,2,2,3,2,1,1,3,3450,19,5050,3,2,2,2,2,19.7,26.23333333,2,26.23333333,10,1082000
Project 758,245,105,21,4610000,2,1,1,2,2,2,2,2,1,3,3700,13,5350,3,2,2,2,2,18.23333333,12.96666667,2,12.985,11,1023000
Project 759,225,110,26,3920000,2,1,2,2,2,3,2,2,2,2,2050,15,3150,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,12,770000
Project 760,205,100,25,2010000,2,1,2,2,2,3,2,2,2,2,2050,15,3050,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,12,735000
Project 761,205,100,26,1510000,2,1,2,2,2,3,2,2,2,2,2300,15,3450,1,3,2,2,1,13.83333333,14.53333333,2,14.51866667,13,780000
Project 762,195,105,24,3310000,2,2,2,2,2,3,2,1,1,3,3000,14,4300,3,3,2,1,2,16.53333333,29.73333333,1,29.76633333,12,918500
Project 763,175,90,27,4190000,2,2,2,2,2,2,2,1,1,3,3450,13,5050,3,3,2,1,2,19.7,26.23333333,2,26.23333333,11,930000
Project 764,165,80,20,3190000,2,1,1,1,1,2,1,2,1,2,3900,12,5400,1,2,1,1,2,17.9,15.13333333,3,15.10033333,12,888000
Project 765,205,95,18,5120000,2,2,2,1,2,2,2,2,2,2,2650,8,4000,1,2,1,1,2,16.53333333,29.73333333,1,29.76633333,9,636000
Project 766,215,95,19,6100000,2,1,1,2,2,2,2,2,1,1,1700,9,2950,1,2,1,1,2,11.56666667,11.83333333,2,11.82166667,8,487500
Project 767,215,95,17,5190000,2,1,1,2,2,2,2,2,1,1,3350,9,4900,1,2,1,1,2,18.23333333,12.96666667,2,12.985,8,721500
Project 768,180,85,18,2210000,1,1,2,1,1,2,1,1,1,1,2500,7,3700,3,1,1,1,2,15.4,18.76666667,1,18.753,7,536000
Project 769,185,80,16,1230000,2,1,1,1,2,2,1,1,1,1,3750,8,4950,3,2,1,1,2,16.66666667,12.16666667,3,12.16,6,648750
Project 770,230,115,21,3157000,2,1,2,2,2,3,2,2,2,2,3850,9,5300,1,2,2,2,2,15.96666667,7,3,6.962666667,8,883500
Project 771,235,115,26,6225000,2,1,2,2,2,3,2,2,2,3,3950,10,5850,1,2,1,1,2,14.3,4.6,3,4.624666667,6,938500
Project 772,305,145,26,5225000,2,1,2,2,2,4,3,2,2,3,3550,6,5150,1,2,1,1,2,17.9,15.13333333,2,15.10033333,11,1073000
Project 773,245,95,28,4275000,2,2,2,2,2,2,2,2,1,2,3550,8,5150,1,2,1,1,2,17.9,15.13333333,2,15.10033333,13,762000
Project 774,225,115,21,2270000,2,1,2,2,2,3,2,1,1,2,3350,9,4700,3,1,1,1,2,18.23333333,12.96666667,2,12.985,7,817500
Project 775,205,95,28,3520000,2,2,2,2,2,2,1,2,2,1,1500,8,2500,3,2,1,2,2,11.43333333,8.433333333,2,8.437666667,11,447000
Project 776,205,95,60,4525000,2,2,2,2,2,2,1,2,2,1,2650,8,4000,3,2,1,2,2,16.53333333,29.73333333,3,29.76633333,13,645000
Project 777,185,90,24,2520000,2,1,2,1,1,2,1,1,2,1,3100,11,4400,1,1,1,1,2,19.7,26.23333333,1,26.23333333,16,665000
Project 778,175,80,24,2270000,2,2,2,1,1,2,1,2,2,1,2300,11,3500,1,1,1,1,2,15.4,18.76666667,1,18.753,11,382000
Project 779,305,135,17,6370000,2,2,2,2,1,3,2,2,2,3,3150,12,4900,3,1,2,1,2,18.23333333,12.96666667,2,12.985,14,910000
Project 780,265,115,14,5220000,2,2,2,1,2,3,2,1,1,3,3450,8,5050,3,3,2,2,1,17.53333333,13.76666667,3,13.742,6,830500
Project 781,245,105,16,3230000,2,1,2,1,2,3,2,2,1,2,3250,8,4600,3,3,2,2,1,17.5,14.56666667,2,14.573,5,718000
Project 782,155,75,9,2220000,2,2,2,1,2,2,1,2,1,1,3450,5,4850,1,2,1,1,2,17.53333333,13.76666667,2,13.742,7,510000
Project 783,145,75,14,1210000,2,1,2,1,1,2,1,1,1,1,3250,7,4400,3,1,1,1,2,17.5,14.56666667,2,14.573,8,452500
Project 784,195,85,21,2220000,2,2,2,1,1,2,2,2,1,2,3350,6,4750,1,2,1,1,2,17.9,15.13333333,3,15.10033333,9,625000
Project 785,205,90,24,4320000,2,1,2,2,2,3,2,2,1,2,3250,7,4800,3,2,1,1,2,17.5,14.56666667,2,14.573,11,663250
Project 786,195,85,14,2120000,2,1,2,1,2,3,1,2,2,2,3450,8,4850,3,1,2,2,2,17.53333333,13.76666667,3,13.742,6,630000
Project 787,235,105,22,3420000,2,2,2,1,2,3,2,2,2,2,3550,7,5000,3,2,1,1,2,16.66666667,12.16666667,3,12.16,9,772000
Project 788,225,100,25,930000,2,2,2,1,2,3,2,1,2,1,1350,8,2250,3,1,1,1,2,11.86666667,11.2,2,11.21833333,14,334500
Project 789,205,90,16,1020000,2,1,2,1,2,2,2,2,2,1,1400,8,2300,1,2,1,1,2,11.76666667,10.33333333,2,10.35033333,11,316750
Project 790,210,95,26,920000,2,1,2,1,2,3,2,1,1,1,1300,8,2200,3,2,1,1,2,11.43333333,8.433333333,2,8.437666667,10,312000
Project 791,220,100,23,950000,2,2,2,2,2,3,2,2,1,1,1350,7,2250,3,2,1,1,2,11.86666667,11.2,2,11.21833333,8,334500
Project 792,175,80,14,1020000,2,1,2,2,2,2,1,2,1,1,1400,8,2300,3,1,1,1,2,11.76666667,10.33333333,2,10.35033333,6,293250
Project 793,175,80,14,820000,1,1,1,1,1,2,1,1,1,1,1450,8,2250,3,2,1,1,2,11.63333333,10.6,3,10.575,5,279000
Project 794,190,80,16,970000,2,1,1,1,1,2,1,1,1,1,1500,8,2400,3,2,1,1,2,11.56666667,11.83333333,3,11.82166667,6,302750
Project 795,185,80,14,2890000,2,1,2,2,2,2,2,2,2,2,3250,8,4600,3,3,2,2,2,17.5,14.56666667,3,14.573,7,578250
Project 796,145,75,19,2050000,2,1,2,2,2,2,1,1,2,2,3700,10,5200,1,2,1,1,2,17.53333333,13.76666667,3,13.742,12,680000
Project 797,175,75,21,4050000,2,1,2,1,2,2,1,2,2,2,3500,9,5150,1,2,1,1,2,17.5,14.56666667,2,14.573,10,727500
Project 798,195,85,19,3170000,2,2,2,1,2,2,2,1,1,2,3700,10,5200,3,2,1,1,2,17.53333333,13.76666667,3,13.742,13,820000
Project 799,205,95,21,2240000,2,2,2,1,2,3,2,1,1,3,3800,11,5350,3,1,1,1,2,16.66666667,12.16666667,2,12.16,10,898000
Project 800,235,105,11,5200000,2,2,2,2,2,3,2,2,2,3,3500,10,5150,3,3,2,2,2,17.5,14.56666667,2,14.573,13,914000
Project 801,225,105,16,6190000,2,1,2,1,2,3,2,1,1,3,3600,13,5500,3,3,2,2,2,17.9,15.13333333,2,15.10033333,15,968000
Project 802,185,85,13,4200000,2,1,2,2,2,2,2,2,1,2,2850,12,4350,3,3,2,2,2,17.23333333,30.33333333,2,30.31233333,13,725000
Project 803,215,90,11,4260000,2,1,2,2,2,2,1,2,2,2,3150,12,4750,3,2,1,1,2,19.7,26.23333333,1,26.23333333,8,795500
Project 804,195,75,10,3050000,2,1,2,2,2,2,1,1,2,2,3300,11,4750,3,3,2,2,2,19.63333333,14.93333333,2,14.928,10,710000
Project 805,205,75,11,4150000,2,2,2,1,2,2,1,2,2,2,3400,11,5050,3,2,2,2,2,18.23333333,12.96666667,2,12.985,7,737000
Project 806,210,95,11,5140000,2,1,2,2,2,2,2,2,1,2,3500,12,5150,3,2,1,1,2,17.5,14.56666667,2,14.573,7,859500
Project 807,245,115,17,3330000,2,1,2,1,2,3,2,2,1,3,2800,16,4100,1,1,1,1,2,15.4,18.76666667,1,18.753,11,864250
Project 808,215,105,22,2330000,2,2,2,1,2,3,1,2,2,2,2250,14,3400,1,2,1,1,2,13.83333333,14.53333333,1,14.51866667,14,740250
Project 809,185,90,16,1330000,2,1,2,1,2,2,1,1,1,1,2200,16,3250,1,1,1,1,2,13.06666667,12.2,2,12.181,10,676000
Project 810,215,105,20,3330000,2,2,2,2,2,3,1,2,2,3,3750,14,5200,3,2,1,1,2,17.5,14.56666667,2,14.573,9,963500
Project 811,235,120,13,2330000,2,2,2,1,2,3,2,1,2,3,3950,12,5450,3,2,1,1,2,17.53333333,13.76666667,2,13.742,10,1070500
Project 812,315,110,13,4330000,2,2,2,1,2,3,2,2,2,3,3950,13,5650,1,1,1,1,2,17.53333333,13.76666667,2,13.742,10,1035000
Project 813,315,85,20,4330000,2,1,2,2,2,2,1,1,1,3,4050,14,5800,1,2,1,1,2,16.66666667,12.16666667,2,12.16,13,906250
Project 814,225,110,23,2280000,2,1,2,1,2,2,2,2,1,3,2800,15,4100,1,3,1,1,2,15.4,18.76666667,1,18.753,16,850000
Project 815,295,150,28,4280000,2,2,2,1,2,4,2,2,1,3,3750,18,5600,3,2,1,1,2,17.5,14.56666667,2,14.573,18,1265000
Project 816,305,150,28,4430000,2,1,2,2,2,4,2,1,1,3,4050,16,6000,3,2,1,1,2,16.66666667,12.16666667,3,12.16,16,1335000
Project 817,315,160,18,4630000,2,1,2,1,2,4,3,1,1,3,3750,14,5600,3,3,2,2,2,17.5,14.56666667,2,14.573,14,1315000
Project 818,235,120,20,5630000,2,2,2,2,2,3,2,2,2,3,4050,15,6000,3,2,1,1,2,16.66666667,12.16666667,3,12.16,15,1136500
Project 819,235,120,23,4630000,2,1,2,2,2,3,2,2,1,3,3850,16,5750,3,2,2,2,2,17.9,15.13333333,1,15.10033333,13,1114500
Project 820,235,120,23,4930000,2,1,2,1,2,3,2,2,1,3,3750,16,5600,3,2,2,2,2,17.5,14.56666667,1,14.573,16,1087000
Project 821,255,130,23,5330000,2,2,2,1,2,3,2,2,2,3,4150,14,6150,3,3,2,2,2,15.96666667,7,3,6.962666667,11,1198000
Project 822,235,120,28,4330000,2,1,2,1,2,3,2,2,2,3,3750,14,5600,3,3,2,2,2,17.5,14.56666667,2,14.573,14,1092500
Project 823,295,150,23,4280000,2,2,2,2,2,4,3,2,1,3,2200,16,3600,3,2,1,1,2,13.06666667,12.2,2,12.181,13,1001000
Project 824,295,150,23,3280000,2,1,2,2,2,4,3,2,1,3,3100,14,4600,3,2,1,1,2,17.23333333,30.33333333,2,30.31233333,12,1218000
Project 825,275,140,18,2480000,2,2,2,2,2,3,3,1,1,3,3950,17,5650,3,2,1,1,2,17.53333333,13.76666667,2,13.742,14,1214000
Project 826,215,110,15,3480000,2,2,2,1,2,3,2,2,1,2,4050,17,5800,3,1,1,1,2,16.66666667,12.16666667,2,12.16,10,1050000
Project 827,205,100,16,2580000,2,1,2,1,2,2,1,1,1,2,3850,14,5550,3,1,1,1,2,17.9,15.13333333,2,15.10033333,9,964000
Project 828,205,100,16,3580000,2,1,2,1,2,3,2,1,1,2,3650,12,5300,3,1,2,2,2,18.23333333,12.96666667,2,12.985,13,1082500
Project 829,185,75,12,2380000,2,1,2,1,2,2,1,2,1,2,1700,9,2950,3,1,1,2,2,11.56666667,11.83333333,2,11.82166667,9,639000
Project 830,185,75,12,3490000,2,1,2,1,2,2,1,2,1,2,1750,12,3000,3,1,1,2,2,11.66666667,8.5,2,8.489,9,843500
Project 831,225,90,26,2430000,2,2,2,2,2,3,1,2,2,3,3950,12,6200,3,1,2,1,1,14.3,4.6,2,4.624666667,17,1003000
Project 832,195,85,19,3430000,2,1,2,2,1,2,2,2,1,2,3550,15,5250,1,3,2,1,2,17.9,15.13333333,2,15.10033333,14,858750
Project 833,180,80,15,3030000,2,1,2,2,1,2,2,2,1,1,1450,15,2600,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,12,545000
Project 834,150,75,21,2030000,2,1,2,2,1,2,2,2,1,1,1450,15,2800,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,17,503000
Project 835,175,75,13,3130000,1,2,1,1,2,2,1,1,1,1,1650,14,2650,1,2,1,1,2,11.63333333,10.6,2,10.575,22,475000
Project 836,175,100,15,3030000,2,1,1,2,2,3,3,2,2,3,2500,15,4250,3,3,2,2,1,15.4,18.76666667,1,18.753,12,825000
Project 837,295,90,16,3080000,2,1,2,2,2,3,2,2,1,2,3750,10,5500,1,3,2,2,1,16.66666667,12.16666667,2,12.16,14,920500
Project 838,245,100,25,1830000,2,1,2,1,1,3,2,1,1,2,3950,9,5750,1,3,2,1,1,14.3,4.6,2,4.624666667,17,1005000
Project 839,175,80,26,3710000,2,2,2,2,2,2,1,1,1,2,3450,8,4650,2,2,1,1,2,17.53333333,13.76666667,2,13.742,15,623250
Project 840,225,95,21,3410000,2,1,2,1,1,2,2,2,1,2,2450,9,3800,2,2,2,2,2,16.53333333,29.73333333,1,29.76633333,19,610000
Project 841,205,95,10,3160000,2,2,2,1,2,2,2,1,1,3,2750,8,3500,1,1,1,1,2,19.23333333,32.16666667,1,32.15333333,7,577000
Project 842,225,100,12,3660000,2,2,1,2,1,2,2,2,2,2,3250,10,5200,3,2,1,1,2,17.5,14.56666667,2,14.573,9,805000
Project 843,215,100,15,3610000,2,1,2,1,2,3,2,2,1,2,1600,9,2750,3,1,2,2,2,11.63333333,10.63333333,3,10.61366667,12,781250
Project 844,165,80,12,3310000,2,2,2,1,2,2,1,2,1,1,1650,8,2800,3,1,2,2,2,12.1,9.4,3,9.414666667,6,721500
Project 845,165,80,11,2310000,2,1,2,1,2,2,1,1,1,2,1700,9,2900,3,1,1,1,2,13.06666667,12.2,2,12.181,7,730500
Project 846,165,80,13,3060000,2,1,2,1,2,2,1,1,1,2,2300,8,3650,3,1,2,1,2,15.4,18.76666667,1,18.753,9,816000
Project 847,165,80,12,3060000,2,1,2,1,2,2,1,1,1,2,2450,8,3800,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,6,852000
Project 848,195,85,12,3060000,2,1,2,1,2,2,1,1,1,1,2450,9,3800,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,8,895000
Project 849,195,85,11,2060000,2,1,2,1,2,2,1,1,1,1,1350,9,2450,3,1,2,1,2,11.86666667,11.2,1,11.21833333,8,700000
Project 850,195,85,14,2060000,2,1,2,1,2,2,2,1,1,1,1350,8,2450,3,1,2,1,2,11.86666667,11.2,3,11.21833333,17,700000
Project 851,215,100,22,3150000,2,1,2,1,2,2,2,1,1,2,1300,9,2400,3,1,2,1,2,11.43333333,8.433333333,3,8.437666667,10,729500
Project 852,225,105,11,3360000,2,1,2,1,2,3,2,1,1,2,1450,9,2550,3,1,1,1,2,11.63333333,10.6,3,10.575,8,777000
Project 853,225,105,14,3560000,2,2,2,2,2,3,2,2,2,2,1500,8,2650,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,7,789000
Project 854,190,115,13,3050000,2,1,1,2,2,3,3,2,2,3,2450,15,4150,3,3,2,2,1,15.4,18.76666667,1,18.753,9,645000
Project 855,310,105,14,3100000,2,1,2,2,2,3,2,2,1,2,3700,10,5400,1,3,2,2,1,16.66666667,12.16666667,2,12.16,11,740500
Project 856,260,115,23,1850000,2,1,2,1,1,3,2,1,1,3,3900,9,5650,1,3,2,1,1,14.3,4.6,2,4.624666667,14,825000
Project 857,180,90,29,3750000,2,2,2,2,2,2,1,1,1,2,3600,12,4850,2,2,1,1,2,17.53333333,13.76666667,2,13.742,15,583250
Project 858,230,105,24,3450000,2,1,2,1,1,3,2,2,1,1,2600,11,4000,2,2,2,2,2,16.53333333,29.73333333,1,29.76633333,19,570000
Project 859,210,105,13,3200000,2,2,2,1,2,3,2,1,1,1,2900,12,3700,1,1,1,1,2,19.23333333,32.16666667,1,32.15333333,7,537000
Project 860,230,110,15,3700000,2,2,1,2,1,3,2,2,2,2,3400,14,5400,3,2,1,1,2,17.5,14.56666667,2,14.573,9,765000
Project 861,220,110,10,3650000,2,1,2,1,2,3,2,2,1,2,1750,10,2950,3,1,2,2,2,11.63333333,10.63333333,3,10.61366667,6,741250
Project 862,170,90,11,3350000,2,2,2,1,2,2,1,2,1,1,1800,12,3000,3,1,2,2,2,12.1,9.4,3,9.414666667,6,681500
Project 863,170,90,14,2350000,2,1,2,1,2,2,1,1,1,2,1850,13,3100,3,1,1,1,2,13.06666667,12.2,2,12.181,7,690500
Project 864,170,90,10,3100000,2,1,2,1,2,2,1,1,1,1,2450,10,3850,3,1,2,1,2,15.4,18.76666667,1,18.753,6,776000
Project 865,170,90,10,3100000,2,1,2,1,2,2,1,1,1,2,2600,10,4000,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,6,812000
Project 866,200,95,10,3100000,2,1,2,1,2,2,1,1,1,3,2600,10,4000,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,6,855000
Project 867,200,95,10,2100000,2,1,2,1,2,2,1,1,1,1,1500,10,2650,3,1,2,1,2,11.86666667,11.2,1,11.21833333,8,660000
Project 868,200,95,10,2100000,2,1,2,1,2,2,2,1,1,1,1500,12,2650,3,1,2,1,2,11.86666667,11.2,3,11.21833333,7,660000
Project 869,220,110,12,3190000,2,1,2,1,2,3,2,1,1,1,1450,10,2600,3,1,2,1,2,11.43333333,8.433333333,3,8.437666667,6,689500
Project 870,230,115,14,3400000,2,1,2,1,2,3,2,1,1,1,1600,10,2750,3,1,1,1,2,11.63333333,10.6,3,10.575,6,737000
Project 871,230,115,17,3600000,2,2,2,2,2,3,2,2,2,2,1650,11,2850,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,7,749000
Project 872,260,145,31,1140000,2,1,2,1,2,4,3,1,1,1,2000,18,2950,3,2,1,1,2,11.43333333,8.433333333,2,8.437666667,17,632000
Project 873,270,145,28,1160000,2,2,2,2,2,4,3,2,1,2,2050,16,3000,3,2,1,1,2,11.86666667,11.2,2,11.21833333,15,654500
Project 874,225,115,19,1240000,2,1,2,2,2,3,1,2,1,1,2100,17,2950,3,1,1,1,2,11.76666667,10.33333333,2,10.35033333,13,613250
Project 875,225,125,19,1040000,1,1,1,1,1,3,2,1,1,1,2150,16,3100,3,2,1,1,2,11.63333333,10.6,3,10.575,12,599000
Project 876,210,125,21,1190000,2,1,1,1,1,3,2,1,1,1,3900,17,5300,3,2,1,1,2,11.56666667,11.83333333,3,11.82166667,13,622750
Project 877,205,125,19,3090000,2,1,2,2,2,3,2,2,2,3,4100,17,5550,3,3,2,2,2,17.5,14.56666667,3,14.573,14,898250
Project 878,165,115,22,2190000,2,1,2,2,2,3,2,1,2,3,3900,16,5500,1,2,1,1,2,17.53333333,13.76666667,3,13.742,15,810000
Project 879,195,115,24,4190000,2,1,2,1,2,3,2,2,2,3,4100,17,5550,1,2,1,1,2,17.5,14.56666667,2,14.573,13,857500
Project 880,215,135,22,3290000,2,2,2,1,2,3,2,1,1,3,4200,18,5700,3,2,1,1,2,17.53333333,13.76666667,3,13.742,16,950000
Project 881,225,145,24,2340000,2,2,2,1,2,3,2,1,1,3,3900,17,5500,3,1,1,1,2,16.66666667,12.16666667,2,12.16,13,1028000
Project 882,255,155,14,5340000,2,2,2,2,2,4,3,2,2,3,4000,20,5850,3,3,2,2,2,17.5,14.56666667,2,14.573,16,1044000
Project 883,245,155,19,6340000,2,1,2,1,2,3,3,1,1,3,3250,19,4700,3,3,2,2,2,17.9,15.13333333,2,15.10033333,18,1098000
Project 884,205,135,16,4340000,2,1,2,2,2,3,3,2,1,3,3550,19,5100,3,3,2,2,2,17.23333333,30.33333333,2,30.31233333,16,855000
Project 885,235,125,16,4390000,2,1,2,2,2,3,2,2,2,3,3700,18,5200,3,2,1,1,2,19.7,26.23333333,1,26.23333333,11,925500
Project 886,215,125,16,3190000,2,1,2,2,2,3,2,1,2,3,3550,16,5000,3,3,2,2,2,19.63333333,14.93333333,2,14.928,13,840000
Project 887,245,120,30,3420000,2,2,2,1,2,3,2,1,1,3,3100,18,4600,3,3,2,2,2,17.23333333,30.33333333,3,30.31233333,14,1263750
Project 888,255,125,26,3620000,2,1,2,2,2,3,2,2,1,3,3750,17,5400,3,3,2,2,2,17.5,14.56666667,2,14.573,16,1815000
Project 889,275,135,24,4620000,2,1,2,2,2,3,2,1,1,3,3950,19,5900,3,3,2,2,2,17.53333333,13.76666667,3,13.742,19,2047500
Project 890,275,135,26,3610000,2,2,2,2,2,3,3,1,1,3,3850,18,5550,3,3,2,2,2,17.9,15.13333333,3,15.10033333,18,1998000
Project 891,295,125,45,3740000,2,2,1,2,1,3,2,2,2,3,4050,21,5600,3,2,1,1,2,17.53333333,13.76666667,2,13.742,15,956500
Project 892,235,125,30,2740000,2,1,2,2,2,3,1,1,1,3,3850,21,5350,3,2,2,2,2,17.5,14.56666667,2,14.573,13,911500
Project 893,285,145,28,4730000,2,2,2,2,2,4,2,1,1,3,3500,21,5150,3,2,2,2,2,19.7,26.23333333,2,26.23333333,9,1002000
Project 894,275,130,20,4740000,2,1,1,2,2,3,2,2,1,3,3750,15,5450,3,2,2,2,2,18.23333333,12.96666667,2,12.985,10,943000
Project 895,255,135,25,4050000,2,1,2,2,2,3,2,2,2,3,2100,17,3250,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,11,690000
Project 896,235,125,24,2140000,2,1,2,2,2,3,2,2,2,3,2100,17,3150,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,11,655000
Project 897,235,125,25,1640000,2,1,2,2,2,3,2,2,2,2,2350,17,3550,1,3,2,2,1,13.83333333,14.53333333,2,14.51866667,12,700000
Project 898,225,130,23,3440000,2,2,2,2,2,3,2,1,1,2,3050,16,4400,3,3,2,1,2,16.53333333,29.73333333,1,29.76633333,11,838500
Project 899,205,115,26,4320000,2,2,2,2,2,3,2,1,1,2,3500,15,5150,3,3,2,1,2,19.7,26.23333333,2,26.23333333,10,850000
Project 900,195,105,19,3320000,2,1,1,1,1,3,1,2,1,2,3950,14,5500,1,2,1,1,2,17.9,15.13333333,3,15.10033333,11,808000
Project 901,205,95,15,5100000,2,2,2,1,2,2,2,2,2,1,2700,10,4100,1,2,1,1,2,16.53333333,29.73333333,1,29.76633333,8,556000
Project 902,215,95,16,6080000,2,1,1,2,2,2,2,2,1,1,1750,11,3050,1,2,1,1,2,11.56666667,11.83333333,2,11.82166667,7,407500
Project 903,215,95,14,5170000,2,1,1,2,2,2,2,2,1,1,3400,11,5000,1,2,1,1,2,18.23333333,12.96666667,2,12.985,7,641500
Project 904,180,85,15,2190000,1,1,2,1,1,2,1,1,1,1,2550,9,3800,3,1,1,1,2,15.4,18.76666667,1,18.753,6,456000
Project 905,185,80,13,1210000,2,1,1,1,2,2,1,1,1,1,3800,10,5050,3,2,1,1,2,16.66666667,12.16666667,3,12.16,5,568750
Project 906,230,115,18,3137000,2,1,2,2,2,3,2,2,2,2,3900,11,5400,1,2,2,2,2,15.96666667,7,3,6.962666667,7,803500
Project 907,235,115,23,6205000,2,1,2,2,2,3,2,2,2,3,4000,12,5950,1,2,1,1,2,14.3,4.6,3,4.624666667,5,858500
Project 908,305,145,23,5205000,2,1,2,2,2,3,3,2,2,3,3600,8,5250,1,2,1,1,2,17.9,15.13333333,2,15.10033333,10,993000
Project 909,245,95,25,4255000,2,2,2,2,2,2,2,2,1,2,3600,10,5250,1,2,1,1,2,17.9,15.13333333,2,15.10033333,12,682000
Project 910,225,115,18,2250000,2,1,2,2,2,3,2,1,1,2,3400,11,4800,3,1,1,1,2,18.23333333,12.96666667,2,12.985,6,737500
